id,x,y,deg
001_0,s0,s0,s0
002_0,s0,s0,s0
002_1,s2.483718421073725313164004546706564724445343017578125,s0.7882862152331853167197550646960735321044921875,s259
003_0,s0,s0,s0
003_1,s-0.290952806892277038297578428682754747569561004638671875,s1.73162770412682487375377604621462523937225341796875,s241
003_2,s0.9542211859394911233067659850348718464374542236328125,s1.187859292935416366532308529713191092014312744140625,s134
004_0,s0,s0,s0
004_1,s-1.4284755570375875510791274791699834167957305908203125,s-1.072165861947219855920820918981917202472686767578125,s339
004_2,s1.286537248561020252424214049824513494968414306640625,s0.54788603541147773423602984621538780629634857177734375,s18
004_3,s-1.7728606631687100492200670487363822758197784423828125,s-0.03537509407067347677600110955609125085175037384033203125,s311
005_0,s0,s0,s0
005_1,s1.2981490532429933448810288609820418059825897216796875,s-0.73565495772562616849654659745283424854278564453125,s106
005_2,s-0.9116205325049815400006991694681346416473388671875,s0.74665515036762009071225065781618468463420867919921875,s319
005_3,s-1.2183089575298746698450713665806688368320465087890625,s-0.053866259913912729884177821304547251202166080474853515625,s183
005_4,s3.168961732148346310822262239526025950908660888671875,s1.2022412984911969857648728066124022006988525390625,s194
006_0,s0,s0,s0
006_1,s-0.39314461047088899992019150886335410177707672119140625,s-1.383612809617336569800727374968118965625762939453125,s2
006_2,s-1.6506500801218237928225107680191285908222198486328125,s-0.49624215422022610599839254064136184751987457275390625,s349
006_3,s-1.1228163322371986776460062174010090529918670654296875,s1.2038907901377002840348495737998746335506439208984375,s47
006_4,s1.4595885755809849815278766982373781502246856689453125,s0.11231258788925645164535893627544282935559749603271484375,s142
006_5,s0.58421214993497005973921432087081484496593475341796875,s1.81904162803738955744847771711647510528564453125,s180
007_0,s0,s0,s0
007_1,s1.61188610990030412040141527540981769561767578125,s-0.60129220084275358804148936542333103716373443603515625,s138
007_2,s-0.0233870976838395742969378687803327920846641063690185546875,s-0.75056363184833274626583943245350383222103118896484375,s94
007_3,s-1.4750690354675188853406098132836632430553436279296875,s-1.4748653987068338633292796657769940793514251708984375,s298
007_4,s-0.70598417175467476081252016228972934186458587646484375,s0.15412934162749503119727023658924736082553863525390625,s99
007_5,s-1.386811542221664250718049515853635966777801513671875,s1.9819423526785902023306107366806827485561370849609375,s115
007_6,s-1.3120274012452106671133833515341393649578094482421875,s0.41213544773209964677818106792983599007129669189453125,s358
008_0,s0,s0,s0
008_1,s0.90131984715495516713446022549760527908802032470703125,s0.1577037296177798142426951244488009251654148101806640625,s65
008_2,s-1.276597159392921287945910080452449619770050048828125,s0.1154319235960687972664118206012062728404998779296875,s341
008_3,s1.6851559817882362235508253434090875089168548583984375,s-0.09379019812941007117057523601033608429133892059326171875,s170
008_4,s4.3671969968971051656581039424054324626922607421875,s2.221094686520990624245541766867972910404205322265625,s110
008_5,s0.00597130056894044913828878407002775929868221282958984375,s3.069796077274046464111734167090617120265960693359375,s306
008_6,s-0.68338989530429483654216937793535180389881134033203125,s-1.339624408374093800233595175086520612239837646484375,s45
008_7,s-0.03959782041411048780776837929806788451969623565673828125,s-1.2795420246798243635311109756003133952617645263671875,s337
009_0,s0,s0,s0
009_1,s2.84192349880899097769315631012432277202606201171875,s-0.67040122721226680368999950587749481201171875,s223
009_2,s-0.1588461017531788421752736439884756691753864288330078125,s-1.4803637666971327657705614910810254514217376708984375,s356
009_3,s0.4713361024691689049603837702306918799877166748046875,s-1.6284396064782631352585440254188142716884613037109375,s210
009_4,s-0.52604616962766692633834963999106548726558685302734375,s0.381393277434284139193465534845017828047275543212890625,s168
009_5,s1.0834887983894543328489135092240758240222930908203125,s1.862383044499428930151907479739747941493988037109375,s36
009_6,s1.4923069979923020422774015969480387866497039794921875,s0.09165438585324077458427183273670380003750324249267578125,s358
009_7,s0.53423045085105658191793054356821812689304351806640625,s-0.192481369984048134025300669236457906663417816162109375,s180
009_8,s2.100984820721901513707052799873054027557373046875,s0.30515005635216729817926761825219728052616119384765625,s28
010_0,s0,s0,s0
010_1,s-0.92911379501649749013125756391673348844051361083984375,s0.480544631168801694709458161014481447637081146240234375,s7
010_2,s0.95825266023049870955929918636684305965900421142578125,s-1.19660072534205053074174429639242589473724365234375,s164
010_3,s0.1195859391316675957028792254277504980564117431640625,s-2.676469033381073447941389531479217112064361572265625,s197
010_4,s-1.2815289664227267341090055197128094732761383056640625,s0.0484529020571668189720782038421020843088626861572265625,s249
010_5,s0.325494929573084401663862763598444871604442596435546875,s1.70145207736875736515003154636360704898834228515625,s37
010_6,s-1.802867476855872563845650802250020205974578857421875,s2.442142191186692290472137756296433508396148681640625,s159
010_7,s-1.0366146602775836438325995914055965840816497802734375,s-0.79856714778460713421992522853543050587177276611328125,s156
010_8,s1.509224856399203673618103493936359882354736328125,s-1.2541935344868402335549717463436536490917205810546875,s212
010_9,s-2.932856003616752360585451242513954639434814453125,s1.5319911319391488202512618954642675817012786865234375,s282
011_0,s0,s0,s0
011_1,s1.5561732787483644191439680071198381483554840087890625,s1.19928031708718396686208507162518799304962158203125,s202
011_2,s0.11170393075859706699670681473435251973569393157958984375,s-1.6130810714337415756602922556339763104915618896484375,s36
011_3,s-0.8071553756228249110193928572698496282100677490234375,s-0.60654589044467244196567889957805164158344268798828125,s116
011_4,s-0.30150677205136944269980858734925277531147003173828125,s3.907328435038107006249674668652005493640899658203125,s200
011_5,s3.00593651906438452670045080594718456268310546875,s-1.611179572214467281554561850498430430889129638671875,s305
011_6,s-1.8633150989447704315438159028417430818080902099609375,s-0.8538811033025675012453348244889639317989349365234375,s81
011_7,s-2.722096100474825863813066462171263992786407470703125,s0.448118614815624149994022218379541300237178802490234375,s179
011_8,s-0.1986953106034328175866221499745734035968780517578125,s1.5623653954083878137026886179228313267230987548828125,s95
011_9,s1.754748933273149180678274206002242863178253173828125,s-0.2302176895341911666559298055290128104388713836669921875,s22
011_10,s1.0651377307683140838179269849206320941448211669921875,s2.196426042811852941127881422289647161960601806640625,s106
012_0,s0,s0,s0
012_1,s-0.094871966389543149755780859777587465941905975341796875,s-0.62031905406894327636990738028544001281261444091796875,s148
012_2,s-0.46565217371936562518186519810114987194538116455078125,s1.658266228354203786210518956067971885204315185546875,s72
012_3,s0.998122713068692490878675016574561595916748046875,s0.0220905114515891169701955476512011955492198467254638671875,s22
012_4,s-1.44297127769137656372322453535161912441253662109375,s-0.180960492835303077274744509850279428064823150634765625,s89
012_5,s-2.129458360093276159119568546884693205356597900390625,s1.7148799211244807327858552525867708027362823486328125,s95
012_6,s-1.2162114056037649501007535945973359048366546630859375,s0.1321631413302001567533494608142063952982425689697265625,s289
012_7,s1.4908459731769074796403629079577513039112091064453125,s0.822673221762522555167151949717663228511810302734375,s260
012_8,s-1.5706876855524740665970284680952318012714385986328125,s-4.043237297702599875037776655517518520355224609375,s90
012_9,s0.94036913204893612938661817679530940949916839599609375,s-1.6343172879758658400106696717557497322559356689453125,s313
012_10,s-0.45691213570247823927417130107642151415348052978515625,s0.62757483328738794536860723383142612874507904052734375,s311
012_11,s-0.10730244176738690242700613453052937984466552734375,s2.2887301727600384282368395361118018627166748046875,s11
013_0,s0,s0,s0
013_1,s-0.5821854741507099806341329895076341927051544189453125,s-0.25977374101085903834729151640203781425952911376953125,s64
013_2,s-0.6301270037787258804229395536822266876697540283203125,s2.217567138352726008321269546286202967166900634765625,s77
013_3,s0.55268682094778343039109813616960309445858001708984375,s0.7197254594828035312303882164997048676013946533203125,s336
013_4,s1.306726527178006858065373307908885180950164794921875,s0.056355241934547051219084323747665621340274810791015625,s25
013_5,s-0.75771804607189252589449779407004825770854949951171875,s-1.3268100299481224713105120827094651758670806884765625,s184
013_6,s-1.5266208837286583399617256873170845210552215576171875,s0.1822625311094958899804652219245326705276966094970703125,s141
013_7,s1.244380742703963704798297840170562267303466796875,s-0.5898673351536547482254491114872507750988006591796875,s52
013_8,s0.80191438008020610173076647697598673403263092041015625,s1.8015992789204411383963133630459196865558624267578125,s285
013_9,s2.189837695986410981419112431467510759830474853515625,s-0.319132334766188463515135254056076519191265106201171875,s286
013_10,s0.08787008313367093703671883986316970549523830413818359375,s1.216340758927846987802467992878518998622894287109375,s6
013_11,s1.3174534275796843107997347033233381807804107666015625,s-1.8053997914540442781827778162551112473011016845703125,s304
013_12,s-3.116868865913773323228497247328050434589385986328125,s-0.67922875851941721947468977305106818675994873046875,s114
014_0,s0,s0,s0
014_1,s-0.3452143734544217412718580817454494535923004150390625,s-0.56119167852504425741955174089525826275348663330078125,s263
014_2,s-1.408990525854415754025694695883430540561676025390625,s0.71360455147229073791237397017539478838443756103515625,s255
014_3,s0.9062831817206333795411410392262041568756103515625,s-1.33439356913110618307882759836502373218536376953125,s250
014_4,s0.71861803082677144782763889452326111495494842529296875,s0.6041069179477698281033326566102914512157440185546875,s252
014_5,s1.29767909792411284541913119028322398662567138671875,s-2.922354080604705917068031340022571384906768798828125,s41
014_6,s-1.160161438745349382628546663909219205379486083984375,s1.7141552427685267101509225540212355554103851318359375,s46
014_7,s0.74533079275237434924150647930218838155269622802734375,s1.6203076745211812959013286672416143119335174560546875,s229
014_8,s-0.176015416356290865795841682484024204313755035400390625,s0.947746869681148407238424624665640294551849365234375,s352
014_9,s-5.63794057917297930515587722766213119029998779296875,s2.320358945878248757566097992821596562862396240234375,s113
014_10,s-0.424963149286419483718901801694300957024097442626953125,s1.7213419337339554981980427328380756080150604248046875,s50
014_11,s-2.211650743010540764998950180597603321075439453125,s0.2260383653146018356761004497457179240882396697998046875,s244
014_12,s1.1518637531589754896543809081776998937129974365234375,s-0.81030773180510351494376664049923419952392578125,s346
014_13,s5.6465349426180377889750161557458341121673583984375,s1.19046575549090238865801438805647194385528564453125,s223
015_0,s0,s0,s0
015_1,s0.10034628823608744696560535203389008529484272003173828125,s-0.71128253568569765885598599197692237794399261474609375,s39
015_2,s-1.9988607179494126686591926045366562902927398681640625,s-1.5918598245744302044357709746691398322582244873046875,s266
015_3,s1.7551847164832548031654368969611823558807373046875,s2.15560199183816880719177788705565035343170166015625,s215
015_4,s-0.3928067869951963331232036580331623554229736328125,s-1.4498857805329266046356906372238881886005401611328125,s356
015_5,s-0.8674079061347426122807746651233173906803131103515625,s0.464016891405663656211544321195106022059917449951171875,s299
015_6,s1.3255735474548380192771901420201174914836883544921875,s1.8565511145902122702722181202261708676815032958984375,s156
015_7,s1.3937246732263286475017594057135283946990966796875,s0.230548561089251424771617848819005303084850311279296875,s265
015_8,s1.5136539343840740290403346079983748495578765869140625,s-1.441924920682122301940353281679563224315643310546875,s42
015_9,s-0.973579520408375032047842978499829769134521484375,s3.21105604283844936475134090869687497615814208984375,s181
015_10,s-2.9856661352113604834812576882541179656982421875,s2.97975023272668604334967312752269208431243896484375,s262
015_11,s0.0647885549043529795909535096143372356891632080078125,s4.62998430992215759260943741537630558013916015625,s101
015_12,s0.318466150021516181123359956472995691001415252685546875,s1.234985752041322104588516594958491623401641845703125,s303
