id,x,y,deg
001_0,s0,s0,s0
002_0,s0.5119126487078406190917027,s0.2694935494811212250976240,s4
002_1,s-0.6197871935999247757984047,s0.2925576389303738197161796,s268
003_0,s-0.1854010000103856851960682,s0.3344306419712072507566257,s1
003_1,s-0.2576496743740209292156119,s1.382027191765433299115024,s244
003_2,s0.6730292751129627751641160,s0.7867428884293800259164265,s136
004_0,s-0.4282216481642718948963030,s0.6269865604510875289369366,s2
004_1,s-0.3947220118606844553588164,s-0.1324300506547696314185727,s342
004_2,s0.1926508975058420002155619,s0.6217848446911092598343717,s21
004_3,s0.07051696776477916469232724,s0.04155041484213354424648294,s313
005_0,s0.5837192691589182663713942,s0.7504492416234265356189681,s1
005_1,s0.2004734843937974238942126,s0.5881226926795204733907503,s110
005_2,s-0.003580482400775936158154906,s1.007296995300944048024050,s319
005_3,s0.08939327057874741841447866,s2.197546210064665824640561,s189
005_4,s0.6918926910444704019703702,s1.817362044034146549564835,s201
006_0,s-0.3716491373860485170066426,s-0.2718984932330255066545988,s1
006_1,s-0.1639811449803697078475562,s-1.070390461537932710184284,s4
006_2,s-0.9099527101531897903957670,s-0.6178915299851950003462430,s352
006_3,s-0.7061616226837715698527731,s0.3198981955187574586357835,s49
006_4,s0.3706524547964576880658933,s0.09768761357708933071308736,s147
006_5,s-0.1206037124471380731632885,s0.6460391204352008281963650,s185
007_0,s0.0004152443545320915613272551,s0.1342307766507233879327288,s2
007_1,s-0.5048012196490598985088028,s1.482809588433491825368304,s141
007_2,s-0.2537062081681780755307299,s-0.2845258330655339685730243,s97
007_3,s-1.472672686980492778863195,s-0.4313475533633594413696068,s304
007_4,s-0.5265258342322222291642664,s0.2446084187824864475836045,s102
007_5,s-0.3255272648398859873519755,s0.8889141785852308526305606,s119
007_6,s-1.301873031696484333315928,s0.3457298859105444373968075,s359
008_0,s0.1725406777638922514728215,s-0.3057713104971391607223019,s1
008_1,s0.9028596583678289606844647,s0.1617683253214279278167642,s66
008_2,s0.2700992020827824042356057,s0.7944931280230764225613881,s344
008_3,s1.288407339924806809666747,s0.6115746093056600874576790,s174
008_4,s1.622524780398640725266600,s-0.09776144027061216962293356,s118
008_5,s0.7293235228383969555050053,s0.9336549684398438506138796,s307
008_6,s-0.07710694558699322104233780,s0.4874310540027980802324499,s48
008_7,s0.6449716752617256146362656,s-0.7452943050729835018641808,s340
009_0,s0.03368960882497533762015839,s-0.05835335570751205933742734,s2
009_1,s1.460845332452689252292210,s-0.3901232574852698531397977,s232
009_2,s0.1654323411372757321284588,s-1.013381244989864881506091,s361
009_3,s0.8605987851129261387295168,s-0.7611069216359166063334822,s214
009_4,s-0.2706681388445310767598002,s-0.3345968194269575632371350,s172
009_5,s0.6156711162965002037683607,s0.2518752199244896142205091,s38
009_6,s0.9793000943383950405995992,s-0.4208313715652929540289584,s360
009_7,s0.4807782605389687088925932,s-0.1800808734035357766556374,s181
009_8,s1.475345530487702156927089,s-0.01470773901408525222590103,s33
010_0,s-0.1874203504912091387824002,s0.1347253663013174285190132,s1
010_1,s-0.8366377962071616519734718,s-0.09588747087271404234698480,s9
010_2,s0.3832330754272760264811382,s0.5608351945516803354089760,s164
010_3,s-0.2580931952210865736041522,s-0.6990345016704668278453843,s203
010_4,s-0.4780538631996929382905748,s-0.2244849958557421747140648,s252
010_5,s-0.5305625904495879646693978,s0.5849477076026680551212874,s41
010_6,s0.1576634859471694751452413,s1.381301064586644433002105,s167
010_7,s-0.7209325742605077538827096,s-0.5140474999360039477097616,s160
010_8,s0.5203893955118177802598996,s-0.1377688772352959577227600,s215
010_9,s-1.679109386723589230835939,s-0.4461865384259400060806836,s285
011_0,s0.004606861023099436715233512,s-0.005635993447189551613929481,s0
011_1,s0.5114407671787841759558635,s-0.1695621434721216302249358,s207
011_2,s0.2735065219404799342212131,s-0.7781303888985863954907969,s37
011_3,s-0.3580264564627178547860652,s0.4991465225893078339058917,s121
011_4,s-3.015835209489897417276146,s6.241307455227198522709763,s211
011_5,s1.001176400372026655547289,s-0.03476141472622393561661731,s315
011_6,s-0.4104808417565407978322427,s-0.1464365000707903569088231,s85
011_7,s-0.6041281824091090917744358,s-0.5775231784265650435833406,s189
011_8,s0.2032362765859944072916606,s1.021335099805428751201798,s97
011_9,s0.6435606138293661990928964,s0.2031418041133385733731930,s25
011_10,s1.322902567484694291363723,s0.9312381258622801684116793,s111
012_0,s-0.04132931891340084484820494,s0.07025128720607966281708201,s0
012_1,s0.7255867026967137700665944,s0.1652822635057921152323957,s149
012_2,s-0.1122791349506847318395416,s1.369716414720520976378015,s76
012_3,s0.4623708598516483302435717,s0.5320780407286259637567038,s23
012_4,s-0.4336572345759290986189070,s-0.2760422787918653168381771,s94
012_5,s-0.7304040194671537313333975,s0.9862450402511821431240917,s101
012_6,s-1.036604299907633440491761,s0.1286712152756798316355358,s290
012_7,s0.4807607120715012647554913,s1.287056003099035405429220,s266
012_8,s-2.117610014998267909877572,s-5.793381003707701454308321,s99
012_9,s-0.1685823718962705802804081,s-0.6325020126057550890613654,s316
012_10,s-0.45691213570247823927417130107642151415348052978515625,s0.62757483328738794536860723383142612874507904052734375,s311
012_11,s0.3463107496723765669349725,s1.614242039688407095304745,s19
013_0,s0.08259614958762298564387550,s-0.03224873303536947982683714,s1
013_1,s-0.2549478354380075931229220,s0.6003772223428863324956595,s68
013_2,s0.01542034715709634812991215,s1.174524740828852185437533,s78
013_3,s0.5360706842212486743226574,s0.2133121666322541631899412,s336
013_4,s1.200920306986432850235302,s0.4171749480679118327053345,s26
013_5,s1.407997843971436638388361,s-0.02703819111979697577263780,s191
013_6,s1.204116974872877957047912,s-0.5796028133881722540186878,s145
013_7,s0.2271184813916204622841202,s-0.5654246914554156306503829,s55
013_8,s0.8665630014726486869680592,s1.388227036708302778583723,s286
013_9,s1.354688904940672154048053,s0.9266135443745882604993372,s291
